10월	十月	N		1) October
18	?	ITJ		1) ''euphemistic spelling of''. f**k! [vulgar, euphemism]
D-	?	PFX		1) ... days before the big event
OK	?	ITJ		1) OK [colloquial]
OX	OX	N		1) true and false, as answers to a questionnaire or a quiz
ᆫ다	?	SFX		1) [A '''present''' tense plain style declarative suffix.] 2) [A plain style monologic interrogative suffix; usually used with interrogative words.]
ᆫ데	?	SFX		1) ''mentions relevant circumstances before explaining, commanding, or suggesting'' 2) ''an intimate style exclamatory or interrogative suffix, expressing unexpectedness or anticipating the listener's responses''
ᆫ지	?	SFX		1) whether, if; who, what, where, how ... 2) ''vague question'' 3) because perhaps
ᆯ게	?	SFX		1) [An informal verbal suffix expressing the future tense, a promise.]
ᆯ지	?	SFX		1) [Connects the posterior clause with a vague question about the prior one, in the future tense.] 2) [An intimate style interrogative suffix with a vague question, in the future tense; usually appears in an indirect quotation.]
ᆸ니까	?	SFX		1) [Interrogative suffix for sentence-final verbs in the {{m]
ᆸ니다	?	SFX		1) [Declarative suffix for sentence-final verbs in the {{m]
ᆸ시다	?	SFX		1) [Hortative suffix for sentence-final verbs in the {{m]
〜	?	PRT		1) Indicates the starting point of a range; from
ㄴ	?	PRT		1) a colloquial variant of 는.
ㄴ	?	SFX		1) ''a present tense suffix''
ㄴ	?	SFX		1) a '''past''' tense suffix making a '''verb''' a determiner 2) a '''present''' tense suffix making an '''adjective''' a determiner
ㄴ	?	SFX		1) ''a plain style imperative ending used only for'' 오다''; usually told to babies and pets, offering friendlier and softer sense.''
ㄹ	?	SFX		1) that will; who will 2) that; who
ㄹ 거	?	SFX		1) ''a common way of forming future tense with Korean verbs and adjectives''
ㄹ까	?	SFX		1) asking an opinion on the proposal 2) asking an estimation 3) used when you speak to yourself on your future plan or estimation (without 요)
ㅁ	?	SFX		1) (''formal'') the act of, the process of, -ing; the status of, being ~, to be ~; that ~
ㅄ	ㅄ	N		1) retard [leet, slang, vulgar]
ㅇ	?	PRT		1) sentence-final particle for cuteness and girliness. [familiar]
ㅇㄱㄹㅇ	ㅇㄱㄹㅇ	ADV		1)  [leet]
ㅇㅇ	?	ITJ		1) yeah [leet]
ㅈㅅ	?	ITJ		1) sorry [leet]
ㅋ	?	ITJ		1) laughing. [internet slang]
ㅋㅋㅋ	?	ITJ		1) lol [Internet slang, text messaging]
上海	上海	NE		1) ?
不過	不過	ADV		1) ?
中國	中國	NE		1) ?
中東	中東	NE		1) ?
中華	中華	NE		1) ?
中華民國	中華民國	NE		1) ?
中華臺北	中華臺北	NE		1) ?
丷	?	PRT		1) to do ''(suffix to make verbs)'' 2) to be ''(suffix to make adjectives)''
主敎	主敎	N		1) ?
于先	于先	ADV		1) ?
亽	?	PRT		1) to be ''(copula)''
今方	今方	ADV		1) ?
俄羅斯	俄羅斯	NE		1) ?
全然	全然	ADV		1) ?
共和國	共和國	N		1) ?
冥王星	冥王星	NE		1) ?
加하다	加하다	A		1) ?
動物界	動物界	NE		1) ?
北京	北京	NE		1) ?
北朝鮮	北朝鮮	NE		1) ?
北極海	北極海	NE		1) ?
北氷洋	北氷洋	NE		1) ?
南極海	南極海	NE		1) ?
南氷洋	南氷洋	NE		1) ?
印度洋	印度洋	NE		1) ?
可하다	可하다	A		1) ?
吐	吐	N		1) An affixal letter used in kwukyel
回教	回教	NE		1) ?
土星	土星	NE		1) ?
地中海	地中海	NE		1) ?
基督	基督	NE		1) ?
大略	大略	ADV		1) ?
大西洋	大西洋	NE		1) ?
天王星	天王星	NE		1) ?
太平洋	太平洋	NE		1) ?
太陽系	太陽系	NE		1) ?
孫悟空	孫悟空	NE		1) ?
官話	官話	NE		1) ?
平壤	平壤	NE		1) ?
彌勒	彌勒	NE		1) ?
彌勒菩薩	彌勒菩薩	NE		1) ?
恒常	恒常	ADV		1) ?
或是	或是	ADV		1) ?
方今	方今	ADV		1) ?
方言	方言	N		1) ?
日本	日本	NE		1) ?
日本語	日本語	NE		1) ?
智利	智利	NE		1) ?
朝鮮	朝鮮	NE		1) ?
朝鮮民主主義人民共和國	朝鮮民主主義人民共和國	NE		1) ?
木星	木星	NE		1) ?
東京	東京	NE		1) ?
東半球	東半球	NE		1) ?
東海	東海	NE		1) ?
極東	極東	NE		1) ?
每年	每年	ADV		1) ?
水星	水星	NE		1) ?
沙悟淨	沙悟淨	NE		1) ?
海王星	海王星	NE		1) ?
漢江	漢江	NE		1) ?
澳門	澳門	NE		1) ?
濠州	濠州	NE		1) ?
濠洲	濠洲	NE		1) Australia
火星	火星	NE		1) ?
獨逸	獨逸	NE		1) ?
白海	白海	NE		1) ?
聖母	聖母	NE		1) ?
聖經	聖經	NE		1) ?
聖誕節	聖誕節	N		1) ?
臺灣	臺灣	NE		1) ?
英國	英國	NE		1) ?
英語圏	英語圏	NE		1) ?
蒙古	蒙古	NE		1) ?
西半球	西半球	NE		1) ?
觀音	觀音	NE		1) ?
豬八戒	豬八戒	NE		1) ?
豬悟能	豬悟能	NE		1) ?
貴族院	貴族院	NE		1) ?
都	都	N		1) all, the whole 2) elegent, refined 3) ?
野球	野球	N		1) ?
長江	長江	NE		1) ?
韓國	韓國	NE		1) ?
韓江	韓江	NE		1) ?
香港	香港	NE		1) ?
高麗	高麗	NE		1) ?
鶬	鶬	N		1) white-naped crane 2) oriole
麻姑	麻姑	NE		1) ?
가	가	N		1) bound, edge, end, margin, rim, side, verge, brink [often, as a suffix]
가	가	N		1) family, house 2) price, value 3) falsehood
가	가	N		1) la (musical note)
가	?	PRT		1) [Indicates the subject of a sentence.] 2) [Indicates the subjective complement of a sentence, usually used with {{m]
가	?	SFX		1) street
가	가	V		1) ''connective form of 가다'': because of going, upon going. 2) ''informal form of 가다'': go (indicativeinterrogativeimperative), let's go
가가우스어	가가우스어	N		1) The Gagauz language
가감	加減	N		1) addition and subtraction 2) adjustment, increasing and decreasing (a quantity), regulation
가강수량	可降水量	N		1) precipitable water
가게	假家	N		1) store, shop
가게	가게	N		1) ?
가격	價格	N		1) monetary price
가격	가격	N		1) ?
가계	家系	N		1) A family line; bloodline; lineage
가계	家計	N		1) household economy; family income and expenditure 2) living conditions of a family
가계	가계	N		1) ?
가공	加工	N		1) processing; treatment; improvement
가공	가공	N		1) ?
가공품	가공품	N		1) product
가공품	가공품	N		1) ?
가공하다	가공하다	V	ko-conjverb()	1) to process or treat; to improve
가교	가교	N		1) ?
가구	가구	N		1) ?
가구	가구	N		1) family; household
가구	家具	N		1) furniture
가구	가구	N		1) ?
가까이	가까이	ADV		1) closely; close together
가까이하다	가까이하다	V	ko-conjverb()	1) to get close to; to befriend 2) to enjoy 3) to approach [North Korea]
가깝다	가깝다	A	ko-conjadj(irreg=y)	1) To be close, near (''in distance, time'') 2) To be on friendly terms 3) To be of similar quantity 4) To be closely related
가꾸다	가꾸다	V	ko-conjverb()	1) To cultivate (plants) 2) To decorate
가끔	가끔	ADV		1) (not frequently) sometimes; from time to time; occasionally 2) (frequently) often; frequently
가끔씩	가끔씩	ADV		1) sometimes
가나	가나	N		1) kana; the hiragana and katakana syllabaries
가나	가나	NE		1) Ghana
가난	가난	N		1) poverty
가난하다	가난하다	A	ko-conjadj()	1) poor (not wealthy)
가난히	가난히	ADV		1) in poverty; poorly
가내공업	家內工業	N		1) cottage industry; household industry
가는돌고기	가는돌고기	N		1) The slender shiner, Pseudopungtungia tenuicorpus.
가늘다	가늘다	A	ko-conjadj()	1) thin, slender (of something long and thin, like a thread or a stick) 2) weak, soft (of a voice or sound)
가늠	가늠	N		1) aim, approach to a goal 2) discernment; prediction
가늠하다	가늠하다	V	ko-conjverb()	1) To aim at a goal 2) To predict how something will turn out
가능	가능	N		1) ?
가능	可能	N		1) possibility
가능성	可能性	N		1) degree of possibility
가능성	가능성	N		1) ?
가능하다	가능하다	A	ko-conjadj()	1) to be possible
가닛	가닛	N		1) garnet
가다	가다	V	ko-conjverb()	1) To go
가돌리늄	가돌리늄	N		1) gadolinium
가동	가동	N		1) ?
가두녀성	街頭女性	N		1) homemaker [North Korea]
가두다	가두다	V	ko-conjverb()	1) to confine, lock, lock up, coop up, shut up, fence, imprison
가두리	가두리	N		1) rim, brim
가두배추	가두배추	N		1) cabbage [North Korea]
가득	가득	ADV		1) full; fully
가득가득	가득가득	ADV		1) packed full; teeming with; full of (people or objects) [ideophonic]
가득하다	가득하다	A	ko-conjadj()	1) To be full
가득히	가득히	ADV		1) fully; to the brim
가따까나	가따까나	N		1) [variant of 가타카나]
가라데	가라데	N		1) karate
가라앉다	가라앉다	V	ko-conjverb()	1) to sink, to go down 2) to cool off, to cool down, to settle down 3) to abate, to soothe
가라오케	가라오케	N		1) karaoke
가락	가락	N		1) spindle; distaff 2) strand
가락지	가락지	N		1) a twinned pair of rings 2) a ring, a finger ring
가락지빵	가락지빵	N		1) donut [North Korea]
가람	가람	N		1) river
가람	伽藍	N		1) Buddhist temple 2) Buddhist monastery
가람	가람	N		1) ?
가래	가래	N		1) spade 2) phlegm
가련	가련	N		1) ?
가련하다	가련하다	A	ko-conjadj()	1) To be miserable or wretched
가련히	가련히	ADV		1) pitifully; pathetically
가렵다	가렵다	V	ko-conjverb(irreg=y)	1) to be itchy
가령	가령	ADV		1) supposing (that) 2) for example
가로	가로	ADV		1) across; horizontally
가로	가로	N		1) The crosswise or horizontal direction
가로	가로	N		1) ?
가로등	街路燈	N		1) streetlamp, streetlight
가로등	가로등	N		1) ?
가로막	가로막	N		1) The diaphragm. [anatomy]
가로채다	가로채다	V	ko-conjverb()	1) To snatch or steal
가루	가루	N		1) meal, flour (''of wheat, etc.''); powder
가르다	가르다	V	ko-conjverb()	1) to separate 2) to cut or slice through 3) to make the difference between defeat and victory
가르치다	가르치다	V	ko-conjverb()	1) to teach or impart knowledge 2) to send someone to school 3) to tell or show someone how to do something 4) to tell someone about something 5) to point (=가리키다)
가르침	가르침	N		1) teaching, instruction, study
가름	가름	N		1) dividing, splitting, separation
가리개	가리개	N		1) A traditional folding screen having two panels
가리다	가리다	V	ko-conjverb()	1) to pick out or single out from a group
가리비	가리비	N		1) scallop
가리키다	가리키다	V	ko-conjverb()	1) To point 2) To indicate or emphasize something
가마	가마	N		1) kiln; oven 2) cauldron
가마	가마	N		1) whorl of hair, vortex of hair (''on the vertex of the head'')
가마	가마	N		1) sack made of straw 2) bag, sack [measure word]
가마	가마	N		1) palanquin
가마우지	가마우지	N		1) A cormorant 2) The Japanese cormorant, ''Phalacrocorax capillatus''.
가마치	가마치	N		1) scorched rice, prepared by scraping from the bottom of the rice cooker, mixing with water, and re-cooking. [North Korea, Yanbian, Koryo-mar]
가만	가만	ADV		1) quietly; without moving or speaking 2) without change; just as it is
가만	?	ITJ		1) quiet! shh!
가만가만	가만가만	ADV		1) softly; without noise 2) stealthily
가만히	가만히	ADV		1) Still; not moving 2) quietly 3) Just as it is 4) Stealthily; in secret
가면	假面	N		1) mask
가면	가면	N		1) ?
가면극	假面劇	N		1) masque; any performance conducted in masks [drama]
가면극	가면극	N		1) ?
가명	가명	N		1) ?
가명	假名	N		1) alias
가무이야기	가무이야기	N		1) A musical [North Korea]
가물가물	가물가물	ADV		1) A shape of the small and weak light keep moving as if disappear 2) A shape of the object keep moving faintly 3) A shape of the conscience is a little blurred
가물치	가물치	N		1) the snakehead, ''Channa argus'' 2) a fish caught during a drought, when the water is low [North Korea]
가뭄	가뭄	N		1) drought (a period of below average rain fall)
가미카제	가미카제	N		1) kamikaze
가발	假髮	N		1) wig, toupee
가발	가발	N		1) ?
가방	가방	N		1) bag; briefcase
가벼워지다	가벼워지다	V	ko-conjverb()	1) to become lighter
가볍다	가볍다	A	ko-conjadj(irreg=y)	1) light (not heavy)
가보로네	가보로네	NE		1) ?
가봉	가봉	NE		1) Gabon
가사	가사	N		1) ?
가사	歌詞	N		1) lyrics
가사	가사	N		1) umbrella [Jeju]
가사	家事	N		1) housework
가사	가사	N		1) ?
가사	가사	N		1) ?
가산	가산	N		1) ?
가산	加算	N		1) addition [mathematics]
가새	가새	N		1) strut; bracing [construction] 2) scissors [North Korea, Yanbian]
가설	假設	N		1) conjecture
가설	假說	N		1) hypothesis
가설	架設	N		1) construction
가설법	假說法	N		1) The subjunctive mood [grammar]
가소롭다	가소롭다	A	ko-conjadj(irreg=y)	1) To be absurd; laughable
가소제	可塑劑	N		1) A plasticizer. [chemistry]
가솔린	가솔린	N		1) gasoline, petrol
가수	가수	N		1) ?
가수	歌手	N		1) a singer, usually professional
가숭어	가숭어	N		1) The redlip mullet, Chelon haematocheilus
가스	가스	N		1) gas 2) natural gas 3) poison gas
가스레인지	가스레인지	N		1) gas stove
가스파초	가스파초	N		1) gazpacho
가슴	가슴	N		1) the thorax 2) the chest or breasts
가슴뼈	가슴뼈	N		1) The sternum or breastbone. [anatomy]
가시	가시	N		1) thorn 2) sting
가시고기	가시고기	N		1) The Chinese nine-spined stickleback, Pungitius sinensis.
가시납지리	가시납지리	N		1) The Korean spined bitterling, Acanthorhodeus gracilis.
가시다	가시다	V	ko-conjverb(irreg=y, honorific=no)	1) to leave; to disappear 2) : to go
가시아버지	가시아버지	N		1) A man's father-in-law (wife's father) [North Korea, Yanbian]
가시어머니	가시어머니	N		1) A man's mother-in-law (wife's mother) [North Korea]
가시집	가시집	N		1) A wife's parent's home. [North Korea]
가식	假飾	N		1) affectation; pretense
가식	가식	N		1) ?
가식하다	가식하다	V	ko-conjverb()	1) to be pretentious; to put on airs
가야	가야	NE		1) ?
가야	伽倻	NE		1) Gaya, an ancient confederacy of city-states in the Nakdong River valley of central and southern Korea
가야금	伽倻琴	N		1) A long zither with bridges and between 12 and 25 strings; used primarily in Korean traditional and classical music
가야금	가야금	N		1) ?
가언적	假言的	N		1) being hypothetical
가없다	가없다	A	ko-conjadj()	1) limitless, endless, boundless [chiefly, in the present determiner form]
가없이	가없이	ADV		1) endlessly, limitlessly
가엾다	가엾다	A	ko-conjadj()	1) pitiful
가오리	가오리	N		1) ray, stingray
가요	가요	N		1) ?
가요	歌謠	N		1) song
가요	가요	V		1) informal polite present indicative of 가다 2) informal polite present interrogative of 가다 3) informal polite present hortative of 가다 4) informal polite present imperative of 가다
가운데	가운데	N		1) the center of something 2) (''dependent noun'') in the course of doing something
가위	가위	N		1) scissors
가위바위보	가위바위보	N		1) rock paper scissors
가을	가을	N		1) autumn; fall
가이드	가이드	N		1) guide
가이아나	가이아나	NE		1) Guyana
가입	가입	N		1) ?
가자	가자	NE		1) ?
가자 지구	가자 지구	NE		1) Gaza Strip
가장	가장	ADV		1) most 2) (by extension also used to form superlatives of adjectives) the most; the best (of its kind)
가장	假葬	N		1) A hurried or temporary burial 2) Burying a child
가장	家長	N		1) the head of a family
가장	가장	N		1) ?
가장자리	가장자리	N		1) edge, verge, brink
가재	가재	N		1) ?
가재	가재	N		1) crayfish (freshwater crustacean resembling lobster)
가정	가정	N		1) ?
가정	家庭	N		1) a household, a family
가정	假定	N		1) a supposition or presupposition 2) a hypothesis
가정	가정	N		1) ?
가정	가정	N		1) ?
가정법	假定法	N		1) The subjunctive mood. [grammar]
가정부	가정부	N		1) ?
가정부	家政婦	N		1) housekeeper, maid
가제	가제	N		1) gauze
가젤	가젤	N		1) gazelle
가져가다	가져가다	V	ko-conjverb()	1) to take something (somewhere), to take away
가져오다	가져오다	V	ko-conjverb()	1) to bring something 2) to incur; to entail
가족	가족	N		1) ?
가족	家族	N		1) household; family
가주	加州	NE		1) California
가죽	가죽	N		1) leather
가지	가지	N		1) kind or kinds
가지	가지	N		1) twig or branch
가지	가지	N		1) eggplantaubergine
가지	가지	V		1) suspective form of 가다
가지가지	가지가지	N		1) various kinds, many kinds
가지고	가지고	N		1) with; by; by means of
가지다	가지다	V	ko-conjverb()	1) to have, to possess 2) to hold or bear a specific attitude or idea 3) to bear or conceive a child
가지뿔	가지뿔	N		1) The antler of a pronghorn
가짜	가짜	N		1) fake
가창오리	가창오리	N		1) The Baikal teal, ''Anas formosa''
가축	가축	N		1) ?
가축	家畜	N		1) livestock
가치	價値	N		1) value
가치	가치	N		1) ?
가치관	價値觀	N		1) value
가타나	가타나	N		1) katana
가타카나	가타카나	N		1) katakana (Japanese syllabary)
가톨릭	가톨릭	N		1) Catholicism; the Catholic Church
가파르다	가파르다	A	ko-conjadj()	1) to be steep (of a road, path, or slope)
가하다	可하다	A	ko-conjadj()	1) To be right; to be good 2) To be good in accordance with one's will
가하다	加하다	V		1) To add; to increase 2) To do a certain act; to affect 3) To affect in order to do a certain act 4) To drive quickly
가히	가히	ADV		1) rightly (so); readily
각	角	N		1) angle, corner
각각	각각	ADV		1) each, every, respective
각각	각각	N		1) ?
각국	각국	N		1) ?
각국	各國	N		1) each countrynation 2) various countries
각기	각기	ADV		1) each, respectively, individually
각기	각기	N		1) ?
각막	角膜	N		1) cornea
각막	각막	N		1) ?
각본	脚本	N		1) script; scenario; screenplay
각색	각색	N		1) ?
각선미	脚線美	N		1) attractive visual quality for describing the legs of a person
각시붕어	각시붕어	N		1) The Korean rose bitterling, Rhodeus uyekii.
각자	각자	N		1) ?
각자	各自	N		1) each person, everyone
각종	각종	N		1) ?
각종	各種	N		1) every sort; all kinds
각주구검	각주구검	N		1) ?
각주구검	刻舟求劍	N		1) being foolishly stubborn and unwilling to adapt to changes [idiomatic, figurative]
각축	각축	N		1) ?
각하	각하	N		1) ?
